id,decision_date,reason,counties,panel_size
3662,1994-03-24,no_signal,,0
25939,1998-09-24,panel_only_weak,,1
26524,2004-02-11,no_signal,,0
26674,2004-02-11,no_signal,,0
30261,1997-09-23,no_signal,,0
30278,1997-10-02,no_signal,,0
30959,1997-10-02,no_signal,,0
34759,1996-12-30,no_signal,,0
34832,1996-12-19,no_signal,,0
35216,1996-12-09,no_signal,,0
69957,2004-04-30,no_signal,,0
97535,2001-03-05,no_signal,,0
97800,2001-03-21,no_signal,,0
97821,2001-03-26,no_signal,,0
98426,2001-03-12,no_signal,,0
98603,2001-03-01,no_signal,,0
107431,1999-05-10,no_signal,,0
107473,1999-05-24,no_signal,,0
107502,1999-05-10,no_signal,,0
107602,1999-05-13,no_signal,,0
107638,1999-05-03,no_signal,,0
107643,1999-05-03,no_signal,,0
107672,1999-05-13,no_signal,,0
107707,1999-05-03,no_signal,,0
107743,1999-05-24,no_signal,,0
107750,1999-05-25,no_signal,,0
107853,1999-05-24,no_signal,,0
107859,1999-05-10,no_signal,,0
107993,1999-05-24,no_signal,,0
108017,1999-05-24,no_signal,,0
108060,1999-05-03,no_signal,,0
108144,1999-05-17,no_signal,,0
108154,1999-05-10,no_signal,,0
108158,1999-05-17,no_signal,,0
108190,1999-05-17,no_signal,,0
108205,1999-05-17,no_signal,,0
108207,1999-05-07,no_signal,,0
108263,1999-05-17,no_signal,,0
108294,1999-05-10,no_signal,,0
108324,1999-05-24,no_signal,,0
108332,1999-05-07,no_signal,,0
108396,1999-05-24,no_signal,,0
108494,1999-05-10,no_signal,,0
108528,1999-05-24,no_signal,,0
112680,1999-06-17,no_signal,,0
113669,1999-06-24,panel_only_weak,,1
113769,2003-06-19,no_signal,,0
114194,2003-06-19,no_signal,,0
114323,2003-06-03,no_signal,,0
114375,2003-06-19,no_signal,,0
115664,1999-12-13,no_signal,,0
115693,1999-12-13,no_signal,,0
115849,1999-12-02,no_signal,,0
115853,1999-12-13,no_signal,,0
115906,1999-12-27,no_signal,,0
115907,1999-12-13,no_signal,,0
115937,1999-12-20,no_signal,,0
116027,1999-12-13,no_signal,,0
116048,1999-12-20,no_signal,,0
116052,1999-12-02,no_signal,,0
116130,1999-12-13,no_signal,,0
116167,1999-12-13,no_signal,,0
116288,1999-12-13,no_signal,,0
116301,1999-12-27,no_signal,,0
116313,1999-12-09,no_signal,,0
116321,1999-12-27,no_signal,,0
116396,1999-12-20,no_signal,,0
116466,1999-12-20,no_signal,,0
116494,1999-12-13,no_signal,,0
116510,1999-12-09,no_signal,,0
116555,1999-12-16,no_signal,,0
116644,1999-12-09,no_signal,,0
116664,1999-12-06,no_signal,,0
116665,1999-12-20,no_signal,,0
116670,1999-12-20,no_signal,,0
116715,1999-12-20,no_signal,,0
116721,1999-12-30,no_signal,,0
116729,1999-12-06,no_signal,,0
116733,1999-12-20,no_signal,,0
116793,1999-12-06,no_signal,,0
116804,1999-12-20,no_signal,,0
116834,1999-12-27,no_signal,,0
116838,1999-12-13,no_signal,,0
116859,1999-12-09,no_signal,,0
116929,1999-12-09,no_signal,,0
117010,1999-12-02,no_signal,,0
117017,1999-12-13,no_signal,,0
117055,1999-12-13,no_signal,,0
117077,1999-12-20,no_signal,,0
117079,1999-12-20,no_signal,,0
117841,2001-04-02,no_signal,,0
117863,2001-04-30,no_signal,,0
117954,2001-04-02,no_signal,,0
118047,2001-04-05,no_signal,,0
118116,2001-04-02,no_signal,,0
118644,2001-04-02,no_signal,,0
118774,2001-04-12,no_signal,,0
129318,2002-02-25,no_signal,,0
129328,2002-02-04,no_signal,,0
129348,2002-03-15,no_signal,,0
134784,1999-07-22,panel_only_weak,,1
134969,1999-07-29,no_signal,,0
146555,2000-01-20,no_signal,,0
171867,1999-01-07,no_signal,,0
171877,1999-01-07,no_signal,,0
171979,1999-01-14,no_signal,,0
172412,1999-01-07,no_signal,,0
172429,1999-01-19,no_signal,,0
172488,1999-01-14,no_signal,,0
172561,1999-01-07,no_signal,,0
172612,1999-01-07,no_signal,,0
172620,1999-01-07,no_signal,,0
172625,1999-01-14,no_signal,,0
176559,2000-02-03,no_signal,,0
176687,2000-02-03,no_signal,,0
177481,2000-02-03,no_signal,,0
177721,2000-02-28,no_signal,,0
180831,2001-05-02,no_signal,,0
181001,2001-05-03,no_signal,,0
181100,2001-05-07,no_signal,,0
181283,2001-05-10,no_signal,,0
182324,2001-05-01,no_signal,,0
185032,2003-07-17,no_signal,,0
195103,2002-03-15,no_signal,,0
195239,2002-03-18,no_signal,,0
195284,2002-03-18,no_signal,,0
195843,2002-03-11,no_signal,,0
195908,2002-04-15,no_signal,,0
197485,1998-12-30,no_signal,,0
202431,1999-11-01,no_signal,,0
202883,1999-11-01,no_signal,,0
203119,1999-11-29,no_signal,,0
217566,2001-09-28,no_signal,,0
217608,2001-09-28,no_signal,,0
217865,2001-09-28,no_signal,,0
218162,2001-09-28,no_signal,,0
218404,2001-08-27,no_signal,,0
262670,2000-05-15,county_multi_dept,kings|bronx,0
262926,2000-05-15,no_signal,,0
264748,1996-07-12,no_signal,,0
265042,1996-07-12,no_signal,,0
271111,2002-10-01,no_signal,,0
271199,2002-10-15,no_signal,,0
271278,2002-10-10,no_signal,,0
271449,2002-10-15,no_signal,,0
271676,2002-10-01,no_signal,,0
271958,2002-10-31,no_signal,,0
272644,2002-10-17,no_signal,,0
282825,2000-03-30,no_signal,,0
315779,1996-08-13,no_signal,,0
319542,1998-06-25,panel_only_weak,,1
328838,2003-04-28,no_signal,,0
329251,2003-04-14,no_signal,,0
329299,2003-04-07,no_signal,,0
329628,2003-04-07,no_signal,,0
371533,1996-06-24,no_signal,,0
371766,1996-06-13,no_signal,,0
389524,2001-11-21,no_signal,,0
389539,2001-11-26,no_signal,,0
390136,2001-11-05,no_signal,,0
390262,2001-11-13,no_signal,,0
390437,2001-11-13,no_signal,,0
393166,2001-12-21,no_signal,,0
402368,1997-11-10,no_signal,,0
403360,1939-07-09,panel_only_weak,,1
406555,1997-12-18,no_signal,,0
406851,1997-12-24,no_signal,,0
407214,1997-12-15,no_signal,,0
407221,1997-12-01,no_signal,,0
424082,2004-11-29,no_signal,,0
424442,2004-11-22,no_signal,,0
495814,1997-09-11,no_signal,,0
505587,2000-09-29,no_signal,,0
505773,2000-09-14,no_signal,,0
505840,2000-09-29,no_signal,,0
506148,2000-09-18,no_signal,,0
537944,2006-08-03,no_signal,,0
538098,2006-08-10,no_signal,,0
538463,2006-09-07,no_signal,,0
547886,2000-11-13,no_signal,,0
553977,2004-05-10,no_signal,,0
554122,2004-05-10,no_signal,,0
559128,2002-11-27,no_signal,,0
559467,2002-11-07,no_signal,,0
574684,2005-07-01,no_signal,,0
576272,2005-07-21,no_signal,,0
655064,1995-09-29,no_signal,,0
664155,1995-11-15,no_signal,,0
